title,overview,genres,keywords,popularity,vote_average,poster_path
365 Days: This Day,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","Romance, Drama",365 Days: This Day,27.0561,5.904,https://image.tmdb.org/t/p/w500/iLmG3HCXVyqXYbFvUO1rfOeGa3Z.jpg
365 Days: This Day,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","Romance, Drama",365 Days: This Day,27.0561,5.904,https://image.tmdb.org/t/p/w500/iLmG3HCXVyqXYbFvUO1rfOeGa3Z.jpg
Companion,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.","Horror, Thriller, Science Fiction",Companion,31.6779,7.1,https://image.tmdb.org/t/p/w500/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg
Pleasure,"19 year old Linnéa leaves her small town in Sweden and heads for Los Angeles with the aim of becoming the world's next big porn star, but the road to her goal turns out to be bumpier than she imagined.",Drama,Pleasure,32.4404,6.285,https://image.tmdb.org/t/p/w500/TcOsu6iO5prSJbDn9oIQgIW655.jpg
Counterattack,"When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.","Action, Adventure, Thriller",Counterattack,33.9606,8.333,https://image.tmdb.org/t/p/w500/38I76hGcFY6xB47pjm7pZwkfuAF.jpg
The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","Drama, Crime",The Shawshank Redemption,34.7686,8.71,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","Adventure, Science Fiction, Action",Avengers: Endgame,27.7632,8.239,https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg
Drop,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.","Mystery, Thriller",Drop,31.3609,6.5,https://image.tmdb.org/t/p/w500/dS2S5lpfgRIRQOb7LDCjNsQqKjp.jpg
Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","Action, Adventure, Science Fiction",Spider-Man: No Way Home,33.8765,7.945,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg
Cry of Silence,"Cry of Silence, is about a double kidnapping, and assault that is presented as an Action Packed ,Dramatic, Thriller that will keep you riveted.","Thriller, Drama, Action",Cry of Silence,27.4801,5.6,https://image.tmdb.org/t/p/w500/dsUimI4VI1SCI1t8jS7ZwBwt1DW.jpg
"Miraculous World: London, At the Edge of Time","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!","Animation, Adventure, Action, Fantasy","Miraculous World: London, At the Edge of Time",32.3478,7.3,https://image.tmdb.org/t/p/w500/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg
The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.","Horror, Thriller",The Conjuring,31.6891,7.541,https://image.tmdb.org/t/p/w500/wVYREutTvI2tmxr6ujrHT704wGF.jpg
Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.","Action, Comedy, Fantasy",Red One,31.718,7.047,https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.","Science Fiction, Adventure, Action",Jurassic World Rebirth,31.4428,0.0,https://image.tmdb.org/t/p/w500/skSoZMossoIYvzOf2UnaWqLscJl.jpg
Bad Influence,An ex-con gets a fresh start when hired to protect a wealthy heiress from a stalker — but their chemistry is hard to resist as they grow closer.,"Thriller, Drama, Romance",Bad Influence,30.7082,5.7,https://image.tmdb.org/t/p/w500/ghhooCOqQDqC6vhS1SVN2tCE0k8.jpg
Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.","Action, Thriller",Cleaner,29.9176,6.541,https://image.tmdb.org/t/p/w500/mwzDApMZAGeYCEVjhegKvCzDX0W.jpg
Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.","Action, Crime, Thriller, Adventure, Mystery",Fast X,30.8532,7.039,https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg
The Pursuit of Lust 3,"This intense erotic thriller follows a disheartened woman who goes on a drinking binge after a guy she met online never showed up for their first date. Unfortunately, her drunken state would make her fall victim to a strange taxi driver’s deranged fetishes.",Thriller,The Pursuit of Lust 3,17.6901,7.0,https://image.tmdb.org/t/p/w500/uvGOLs5wX6YFq2EJqTljzykO3d1.jpg
Apocalypse Z: The Beginning of the End,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.","Drama, Action, Horror",Apocalypse Z: The Beginning of the End,25.4394,6.731,https://image.tmdb.org/t/p/w500/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg
Claudia,"Eager to escape her high-society life among the English Elite, a woman falls in love with a young musician. Her husband, however has other plans for her.",Drama,Claudia,32.6461,0.0,https://image.tmdb.org/t/p/w500/d8NYTygRU6ztSuvCdx6VoM5qQpF.jpg
The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Family, Comedy, Adventure, Animation",The Super Mario Bros. Movie,33.4141,7.621,https://image.tmdb.org/t/p/w500/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
Two Sisters' Sexy Pervert,"Min-goo is troubled seeing her two older sisters, Min-ji and Min-ah, go naked in their daily lives. After much deliberation, he devises a plan to have his friend Byeong-min come into the house. Min-goo proposes a family meeting. He lies to his sisters that he has no time to go because his father's business is not going well and declares that he will bring Byeong-min home. However, her older sister Min-ji is against it... Byeong-min, who entered the house, continues to be driven into a pervert...",Romance,Two Sisters' Sexy Pervert,28.2846,0.0,https://image.tmdb.org/t/p/w500/bk02EDzNcJqi6VWFvo6RHxritvf.jpg
Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","Action, Comedy, Crime, Thriller, Adventure",Bad Boys: Ride or Die,31.3532,7.378,https://image.tmdb.org/t/p/w500/oGythE98MYleE6mZlGs5oBGkux1.jpg
Soul to Squeeze,"Jacob's got problems-deep, mental ones. Desperate for relief, he volunteers for a radical treatment to escape his tortured mind. But instead of peace, he finds himself trapped in a house with a tunnel to his subconscious. What begins as a path to healing becomes a harrowing descent where memory fractures, time distorts, and reality bends. A first-of-its-kind cinematic experience, Soul to Squeeze begins in a boxy 4:3 aspect ratio and ever so slowly widens to a full 2.35:1 by the final frame-mirroring Jacob's expanding perception as he risks everything for redemption. Visually daring and emotionally raw, Soul to Squeeze merges body with mind, taking audiences on a perilous journey through the psyche.","Thriller, Drama, Science Fiction",Soul to Squeeze,26.7946,4.7,https://image.tmdb.org/t/p/w500/bBJGmU0ORhmo0liy7c3MdI8qOMU.jpg
Alarum,"Two married spies caught in the crosshairs of an international intelligence network will stop at nothing to obtain a critical asset. Joe and Lara are agents living off the grid whose quiet retreat at a winter resort is blown to shreds when members of the old guard suspect the two may have joined an elite team of rogue spies, known as Alarum.","Action, Crime, Thriller",Alarum,29.174,5.785,https://image.tmdb.org/t/p/w500/v313aUGmMNj6yNveaiQXysBmjVS.jpg
Mission: Impossible - Ghost Protocol,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.","Action, Thriller, Adventure",Mission: Impossible - Ghost Protocol,30.3955,7.1,https://image.tmdb.org/t/p/w500/eRZTGx7GsiKqPch96k27LK005ZL.jpg
The Pursuit of Lust,"Sensual Mongolian actress E.Khandmaa stars in this romantic drama, which highlights a housewife’s longing for pleasure her passionless husband fails to provide. That is until her spouse’s business client eventually gives in to her desires.","Romance, Drama",The Pursuit of Lust,23.5915,6.0,https://image.tmdb.org/t/p/w500/affsHDxbgTpCHQbC5GVyZCbuukO.jpg
Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.","Action, Drama",Top Gun: Maverick,28.8697,8.176,https://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
John Wick: Chapter 4,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Action, Thriller, Crime",John Wick: Chapter 4,30.7153,7.723,https://image.tmdb.org/t/p/w500/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
Carjackers,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?","Action, Adventure",Carjackers,31.0142,6.078,https://image.tmdb.org/t/p/w500/wbkPMTz2vVai7Ujyp0ag7AM9SrO.jpg
Marked Men: Rule + Shaw,"Shaw Landon has loved Rule Archer from the moment she laid eyes on him. Rule, a fiery-tempered rebel tattoo artist, doesn’t have time for a good girl pre-med student like Shaw — even if she’s the only one who can see the person he truly is. She lives by other people’s rules; he makes his own. But a short skirt, too many birthday cocktails, and spilled secrets lead to a night neither can forget. Now, Shaw and Rule must figure out how a girl like her and a guy like him are supposed to be together without destroying their love…or each other.","Romance, Drama",Marked Men: Rule + Shaw,26.7138,6.559,https://image.tmdb.org/t/p/w500/gZQU8BtCH2IbMZq6QETiU4HXQSR.jpg
Coraline,"Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.","Animation, Family, Fantasy",Coraline,29.3502,7.893,https://image.tmdb.org/t/p/w500/4jeFXQYytChdZYE9JYO7Un87IlW.jpg
Angels,"Renan says goodbye to Elena and Veronica and leaves for a new great love. However, when he realizes that he is being eaten alive, he decides to run away, counting on his friends to save him from the curse that haunts him.",,Angels,32.0469,0.0,https://image.tmdb.org/t/p/w500/uOzkKlxyZhTcxFqYUJzKEF8bDqM.jpg
Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","Animation, Action, Adventure, Science Fiction",Spider-Man: Across the Spider-Verse,31.5716,8.344,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg
Locked,"When Eddie breaks into a luxury SUV, he steps into a deadly trap set by William, a self-proclaimed vigilante delivering his own brand of twisted justice. With no means of escape, Eddie must fight to survive in a ride where escape is an illusion, survival is a nightmare, and justice shifts into high gear.",Thriller,Locked,29.7007,6.255,https://image.tmdb.org/t/p/w500/hhkiqXpfpufwxVrdSftzeKIANl3.jpg
Waves,"At the end of the 1960s, when the air is filled with rock-and-roll and student rebellions are changing the world, the older of two brothers joins a prestigious newsroom of the public radio broadcaster. Not long after, he finds himself in the middle of a dangerous conflict between journalists and the secret service.","Thriller, Drama, History",Waves,24.5601,7.597,https://image.tmdb.org/t/p/w500/sXxvWOBdWDJwWXmX4nKgQsWLLKC.jpg
How to Train Your Dragon 2,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider. Hiccup and Toothless find themselves at the center of a battle to protect Berk from a power-hungry warrior.","Fantasy, Action, Adventure, Animation, Comedy, Family",How to Train Your Dragon 2,27.9653,7.673,https://image.tmdb.org/t/p/w500/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg
Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.","Science Fiction, Adventure",Dune: Part Two,23.9506,8.146,https://image.tmdb.org/t/p/w500/czembW0Rk1Ke7lCJGahbOhdCuhV.jpg
Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","Comedy, Thriller, Drama",Parasite,27.4798,8.499,https://image.tmdb.org/t/p/w500/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
The Codes of War,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.","Action, War",The Codes of War,29.3376,6.1,https://image.tmdb.org/t/p/w500/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg
Batman Ninja vs. Yakuza League,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!","Animation, Action",Batman Ninja vs. Yakuza League,29.7981,6.692,https://image.tmdb.org/t/p/w500/sVVT6GYFErVv0Lcc9NvqCu0iOxO.jpg
